Confirmed,Deaths,Recovered
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
24953,699,1115
1034,1,88
1006,0,123
914,3,86
772,0,112
665,0,47
661,0,45
426,2,31
408,0,43
386,0,37
344,1,42
297,1,33
277,3,12
277,1,30
224,0,20
184,0,17
172,0,17
172,1,22
138,0,12
117,2,10
104,0,15
99,0,7
81,1,6
81,1,2
67,0,9
65,1,4
61,0,0
50,0,5
43,0,5
39,0,0
30,0,0
25,1,0
25,0,1
25,0,5
24,0,1
18,0,3
16,0,1
13,0,0
12,0,1
10,0,1
10,0,1
6,0,0
5,0,0
5,0,0
4,0,2
4,0,0
4,0,0
3,0,0
3,0,0
3,1,0
3,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
27100,780,1439
1095,1,112
1048,0,175
981,4,116
803,1,156
733,0,59
698,0,55
439,0,51
428,2,39
416,0,44
364,1,60
315,2,34
295,5,13
286,1,41
239,0,24
195,1,30
195,0,20
183,0,17
138,0,17
124,2,14
115,0,21
105,0,8
89,1,7
88,1,4
79,1,12
69,1,4
61,0,0
52,0,5
45,0,15
42,0,0
33,0,2
32,0,10
26,1,0
25,0,1
24,0,1
18,0,3
17,0,1
16,0,1
13,0,0
13,0,1
11,0,0
10,0,1
7,0,0
5,0,0
4,0,2
4,0,0
4,0,0
3,0,0
3,0,0
3,1,0
3,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,1
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
29631,871,1795
1131,1,141
1075,0,201
1033,6,153
838,1,186
779,1,72
740,0,73
468,2,51
468,0,71
444,1,63
386,1,71
326,2,37
307,6,14
293,1,44
250,0,35
208,0,25
206,2,34
195,1,18
141,0,18
131,3,19
119,0,25
107,0,12
99,1,7
91,1,4
83,2,16
78,1,12
64,0,0
54,0,5
45,0,13
45,0,0
40,0,2
32,0,10
29,1,0
26,0,1
25,0,3
18,0,3
18,0,1
16,0,1
14,0,0
13,0,1
11,0,0
10,0,1
7,0,0
5,0,0
4,0,2
4,0,0
4,0,0
3,0,0
3,0,0
3,1,0
3,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,2
2,0,0
2,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,1
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,1
1,0,0
31728,974,2222
1159,1,167
1092,0,242
1073,6,191
879,1,208
830,3,88
771,1,105
492,0,81
486,2,66
466,1,66
405,1,80
337,2,44
331,7,30
299,1,48
261,0,39
218,2,41
213,0,30
210,1,24
149,0,19
138,3,19
135,0,0
119,0,25
109,1,10
108,0,13
95,1,8
83,2,17
80,1,13
58,0,5
49,0,13
49,0,0
45,0,2
38,1,0
32,0,10
27,0,3
26,0,4
18,0,3
18,0,1
18,0,1
14,0,0
14,0,1
11,0,0
10,0,1
8,0,0
8,0,0
5,0,0
4,0,2
4,0,0
4,0,0
3,0,0
3,0,0
3,1,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,2
2,0,0
2,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,1
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,1
1,0,0
33366,1068,2639
1177,1,212
1117,0,270
1105,7,218
912,1,247
860,4,105
804,1,128
515,0,93
505,3,79
487,1,80
417,1,85
360,8,28
342,3,48
303,1,52
267,0,45
239,2,48
219,0,32
215,1,33
153,0,20
144,3,20
135,0,0
127,1,17
124,0,30
111,0,19
106,2,10
86,2,24
81,1,18
58,0,5
55,0,3
53,0,22
49,1,0
47,0,9
33,0,10
28,0,3
26,0,9
18,0,5
18,0,3
18,0,1
16,0,0
15,0,6
11,0,0
10,0,1
8,0,0
8,0,0
5,0,0
4,0,2
4,0,0
4,0,0
3,0,0
3,0,0
3,1,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,2
2,0,0
2,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,1
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,1
1,0,0
33366,1068,2686
1219,1,275
1135,8,246
1131,0,321
946,2,304
889,4,127
844,1,152
543,0,125
518,3,102
497,2,92
436,1,92
378,8,31
352,3,56
311,1,57
272,0,53
251,2,54
225,0,43
222,1,32
175,0,0
157,4,27
154,0,26
133,1,18
126,0,33
116,1,20
112,2,11
87,2,31
83,1,22
60,0,6
59,0,3
58,0,24
50,1,1
50,0,15
33,0,10
28,0,9
28,0,7
18,0,9
18,0,3
18,0,1
16,0,0
15,0,6
11,0,2
10,0,2
9,0,1
8,0,1
5,0,0
4,0,2
4,0,0
4,0,0
3,0,0
3,0,0
3,1,1
2,0,0
2,0,0
2,0,2
2,0,0
2,0,2
2,0,0
2,0,0
1,0,0
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,1
1,0,0
48206,1310,3459
1241,2,314
1169,10,296
1145,0,360
968,2,339
910,5,157
872,1,170
570,0,139
529,4,128
509,2,105
451,1,104
395,9,33
366,3,69
315,1,62
279,0,57
265,3,68
229,0,46
222,2,33
175,0,0
157,4,30
156,0,27
135,1,27
126,0,36
119,3,21
117,1,22
90,2,39
84,1,24
64,0,24
63,1,6
61,0,6
58,0,15
53,1,1
33,0,12
28,1,9
28,0,7
19,0,3
18,0,11
18,0,1
16,0,1
16,0,7
11,0,2
10,0,3
9,0,1
8,0,1
5,0,0
4,0,4
4,0,4
4,0,0
3,0,0
3,0,0
3,1,1
2,0,0
2,0,0
2,0,2
2,0,0
2,0,2
2,0,0
2,0,0
2,0,0
1,0,0
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,1
1,0,0
54406,1457,4774
1261,2,362
1184,11,357
1155,0,403
988,2,364
934,6,193
900,1,187
593,0,157
537,5,152
523,2,136
463,1,114
419,11,47
372,3,80
318,1,90
283,3,87
281,0,63
230,0,54
226,2,36
218,0,0
162,0,36
159,4,43
140,1,28
127,0,38
120,3,31
119,1,29
90,2,39
86,1,25
67,0,24
67,0,17
65,0,6
65,1,6
56,1,1
33,0,12
29,1,9
28,0,7
19,0,3
18,0,11
18,0,2
16,0,1
16,0,7
11,0,2
10,0,3
9,0,1
8,0,1
5,0,0
4,0,4
4,0,4
4,0,0
3,0,0
3,0,0
3,1,1
2,0,0
2,0,0
2,0,2
2,0,0
2,0,2
2,0,0
2,0,0
2,0,0
1,0,0
1,0,1
1,0,1
1,0,0
1,0,1
1,0,1
1,0,1
1,0,1
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,1
1,0,0
56249,1596,5623
1294,2,410
1212,13,391
1162,0,428
1001,2,425
950,6,221
913,1,210
604,0,186
544,5,184
532,2,156
470,1,119
425,11,68
375,4,98
326,1,124
291,3,101
285,0,71
285,0,0
235,2,44
232,0,60
168,0,42
162,4,39
143,1,41
128,0,46
122,3,37
119,1,31
90,2,49
88,1,26
72,0,18
70,0,33
70,1,10
68,0,7
56,1,1
43,1,12
33,0,12
28,0,9
22,0,7
18,0,13
18,0,2
16,0,1
16,0,7
12,1,4
10,0,3
9,0,1
8,0,3
5,0,0
4,0,4
4,0,4
4,0,0
3,0,0
3,0,0
3,1,1
2,0,0
2,0,0
2,0,2
2,0,2
2,0,2
2,0,0
2,0,0
2,0,0
1,0,0
1,0,1
1,0,1
1,0,0
1,0,1
1,0,1
1,0,1
1,0,1
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,1
1,0,0
58182,1696,6639
1316,2,465
1231,13,440
1167,0,456
1004,3,464
962,6,255
925,1,240
617,0,218
551,5,207
537,2,173
481,3,131
445,11,79
380,4,108
355,0,0
328,1,140
300,3,105
287,0,82
237,2,49
236,0,71
171,0,42
162,4,52
144,1,46
129,0,50
124,3,45
121,1,40
90,2,54
89,1,30
75,0,18
71,1,12
70,0,8
70,0,33
59,1,12
57,1,2
34,0,14
29,0,9
22,0,7
20,1,2
18,0,13
16,0,1
16,0,7
12,1,4
10,0,5
9,0,8
9,0,4
5,0,0
4,0,4
4,0,4
4,0,0
3,0,3
3,0,0
3,1,1
2,0,0
2,0,0
2,0,2
2,0,2
2,0,2
2,0,0
2,0,0
2,0,0
1,0,0
1,0,1
1,0,1
1,0,0
1,0,1
1,0,1
1,0,1
1,0,1
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,1
1,0,0
59989,1789,7862
1322,4,524
1246,16,509
1171,0,507
1006,3,498
973,6,280
930,1,275
626,0,258
553,5,225
541,2,191
495,3,156
457,11,85
454,0,0
381,4,114
333,1,161
301,3,122
290,0,90
240,0,79
238,2,53
171,0,47
163,4,59
146,1,57
130,0,53
125,3,46
121,1,43
91,2,58
89,1,34
77,0,24
75,1,12
72,0,8
70,0,35
66,1,12
60,1,2
35,0,15
30,0,10
22,0,7
22,1,2
18,0,13
16,0,1
16,0,7
12,1,4
10,0,5
9,0,8
9,0,4
5,0,0
5,0,0
4,0,4
4,0,4
3,0,3
3,0,0
3,1,1
2,0,2
2,0,0
2,0,2
2,0,2
2,0,2
2,0,0
2,0,0
2,0,0
1,0,1
1,0,1
1,0,1
1,0,0
1,0,1
1,0,1
1,0,1
1,0,1
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,1
1,0,0
61682,1921,9128
1328,4,565
1257,19,522
1172,0,535
1007,4,527
982,6,361
933,1,310
629,0,280
555,5,254
543,3,211
542,0,0
508,3,169
464,11,111
387,4,122
333,1,177
306,4,136
292,0,93
242,2,69
240,0,89
172,0,57
163,4,79
146,2,66
131,0,61
128,3,48
121,1,53
91,2,62
89,1,36
81,0,29
76,1,12
74,1,13
73,0,8
70,0,42
62,1,2
35,0,15
31,0,12
22,0,13
22,1,2
18,0,15
16,0,12
16,0,7
12,1,4
10,0,5
9,0,8
9,0,4
5,0,0
5,0,0
4,0,4
4,0,4
3,0,3
3,0,0
3,1,1
2,0,2
2,0,0
2,0,2
2,0,2
2,0,2
2,0,0
2,0,0
2,0,0
1,0,1
1,0,1
1,0,1
1,0,0
1,0,1
1,0,1
1,0,1
1,0,1
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,1
1,0,0
62031,2029,10337
1331,5,606
1262,19,573
1174,0,604
1008,4,561
986,6,413
934,1,362
631,0,318
621,0,1
560,5,274
544,3,231
514,3,188
470,12,120
393,4,145
333,2,186
306,4,152
293,0,112
244,2,86
242,0,102
172,1,60
168,4,84
146,2,70
131,0,68
130,3,54
121,1,55
91,2,65
90,1,37
84,1,18
84,0,34
76,1,20
75,0,10
71,0,42
63,2,5
35,0,15
31,0,12
23,1,2
22,0,15
18,0,16
16,0,12
16,0,7
12,1,4
10,0,5
9,0,8
9,0,4
5,0,0
5,0,0
4,0,4
4,0,4
3,0,3
3,0,0
3,1,1
2,0,2
2,0,0
2,2,0
2,0,2
2,0,2
2,0,2
2,0,0
2,0,0
2,0,0
1,0,1
1,0,1
1,0,1
1,0,0
1,0,1
1,0,1
1,0,1
1,0,1
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,1
1,0,0
62442,2144,11788
1332,5,642
1265,19,637
1175,1,633
1010,4,634
987,6,474
934,1,433
634,2,1
631,0,356
567,6,299
546,4,254
520,3,217
476,12,136
395,4,153
334,2,199
307,5,169
293,1,126
245,2,90
245,1,118
174,2,79
168,4,86
146,2,72
132,0,76
131,3,59
121,1,59
104,1,16
94,1,18
91,2,71
91,1,43
84,0,34
76,1,22
75,0,16
71,0,44
68,2,6
35,0,15
24,1,2
22,0,15
18,0,16
16,0,12
16,0,7
12,1,4
10,0,6
9,0,8
9,0,4
5,0,0
5,0,0
5,2,0
4,0,4
4,0,4
3,0,3
3,0,0
3,1,1
